Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
مازدا 323,1995,32000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,123,4+1,نقدا فقط,للبيع فقط,,"جهاز إنذار,مسجل,جنطات مغنيسيوم"
اوبل زافيرا,2002,47000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,135000,6+1,نقدا فقط,للبيع فقط,ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
كيا سول,2012,65000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,91 الف,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن جولف,2010,76000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٨٠٠٠٠,,نقدا فقط,للبيع فقط,يداولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سوبارو عريض,1985,18000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,مسجل"
فولفو FL 12,1997,50000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1800,,,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل,فتحة سقف"
فولكسفاجن كادي,2014,103000,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
مرسيدس 608,1982,25000,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,3000,00000,,نقدا فقط,للبيع أو التبديل,,
فولكسفاجن ترانسبورتر,2004,55000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,100000,1+7,إمكانية التقسيط,للبيع فقط,يد اولا,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي سانتافيه,2006,72000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,22222222,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس 230,2006,80000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,2009,65000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
اوبل اسكونا,1984,11000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,4,"مسجل,فرش جلد"
فولكسفاجن بولو,2014,75000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,
مرسيدس 814,1997,35000,أحمر,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,,2+1,إمكانية التقسيط,للبيع أو التبديل,3,مسجل
بي ام دبليو 325,2002,880000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2500,25000,4+1,إمكانية التقسيط,للبيع أو التبديل,5,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن جولف,2014,110000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,35000,4+1,نقدا فقط,للبيع فقط,يد أولى وكالة,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن باسات,2006,67000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,110000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
مرسيدس 220,1999,50000,خمري,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن GTI,2011,120000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,134000,4+1,نقدا فقط,للبيع فقط,يد خامسه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن توران,2012,94000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن جولف,2003,55000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
نيسان ميكرا,2014,55000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,60000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
كيا فورتي,2009,56000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس 412,1997,44000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,5555444,٧+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
هوندا سيفيك,2008,39500,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي اكسنت,2014,66000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,15000,4+1,نقدا فقط,للبيع فقط,غير منمرة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن توران,2010,82000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,0000000112315,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل كورسا,2014,55000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فيات 127,1985,10000,أبيض عاجي,بنزين,تأجير,فلسطينية,عادي,يدوي,903,00000000,4+1,إمكانية التقسيط,للبيع فقط,10,"مسجل,فرش جلد"
فولكسفاجن جولف,1986,33000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
هونداي توسان,2013,95000,خمري,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,50000,5+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
ميتسوبيشي L200,2006,85000,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,150000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن باسات,2010,83000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,100000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
اودي Q7,2008,175000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,120000,6+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سيت ليون,2015,83000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,42000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جنطات مغنيسيوم,وسادة حماية هوائية"
سوزوكي سويفت,1991,11500,أحمر,بنزين,تأجير,فلسطينية,عادي,يدوي,1000,99999,4+1,إمكانية التقسيط,للبيع فقط,٩,"مسجل,جنطات مغنيسيوم,فرش جلد"
اوبل كوووورسا بسعر ممتاز,2013,49000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,100,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن جولف,2014,95000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,5+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا سورينتو,2007,66000,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,17000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2009,65000,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,2008,45000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن بولو,2015,63000,عدة الوان,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,45000,4+1,إمكانية التقسيط,للبيع أو التبديل,مستورد,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سوبارو نملة,1983,9000,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1595,00000000,4+1,نقدا فقط,للبيع فقط,10,"مسجل,فرش جلد"
فولكسفاجن كرافيل,1998,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,45555,7+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
دايو لانوس,1997,26000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي اكسنت,2014,67000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,٤+١,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي سانتافيه,2015,133000,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,4,6+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,2008,70000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,280000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن جيتا,1984,16000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,٤+١,نقدا فقط,للبيع فقط,٧,"إغلاق مركزي,مسجل"
اوبل كورسا,2008,45000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,٨٠٠٠٠,٤+١,نقدا فقط,للبيع فقط,١,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
فورد كونيكت,2008,65000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,إمكانية التقسيط,للبيع فقط,يد ثالثه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن كادي,2014,98000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,102000,6+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
شفروليه كافلير,1999,19000,أبيض عاجي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,2400,,5+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
شفروليه اوبترا,2009,33000,رمادي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا رابيد,2015,83000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو 406,1997,22000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,,إمكانية التقسيط,للبيع فقط,,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن كادي,2013,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,5+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
داف 55,2008,150000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,7000,,,نقدا فقط,للبيع فقط,,
كيا سول,2015,71000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,40000,5+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن جولف,2003,55000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي i40,2012,74999,جيشي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,80000,4+1,نقدا فقط,للبيع أو التبديل,12,"مُكيّف,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا مورننغ,2014,48000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,70000,4+1,نقدا فقط,للبيع أو التبديل,يدو اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2014,105000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,180000,5+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي i30,2008,49000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,145,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
ميتسوبيشي باجيرو,2006,100000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,160000,6+1,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2011,80000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,180 كيلومتر,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
ميتسوبيشي بيجيرو كنج,2008,135000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,1354000,7+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بيجو 307,2008,35500,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120000,4+1,إمكانية التقسيط,للتبديل فقط,4,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
داتشيا 2016,2016,85000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,41000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل اسكونا,1982,1200,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,11111,٤+١,نقدا فقط,للبيع أو التبديل,٤,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
مرسيدس 914,1992,27000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2400,50000,2/1,نقدا فقط,للتبديل فقط,3,"إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,فرش جلد"
سوبارو نملة,1987,26000,أبيض عاجي,بنزين,تجاري,فلسطينية,عادي,يدوي,1600,0000,4+1,إمكانية التقسيط,للبيع أو التبديل,5,"مسجل,جنطات مغنيسيوم,فرش جلد"
مازدا 323,2000,44000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,250000,4+1,نقدا فقط,للبيع فقط,6,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو 405,1992,14000,أبيض,ديزل,عمومي,فلسطينية,عادي,يدوي,1600,550000,4+1,إمكانية التقسيط,للبيع فقط,5,"إغلاق مركزي,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فيات اونو,1993,13000,أبيض,بنزين,تأجير,فلسطينية,عادي,يدوي,1000,,4+1,نقدا فقط,للبيع فقط,يد ثالثه,
اودي A4,2003,37000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي اكسنت,2015,67000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,80000,5+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن كرافيل,2000,50000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2300,,1+7,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,مسجل,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,2002,45000,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,,4+1,إمكانية التقسيط,للبيع أو التبديل,يد خامسه,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم"
كيا برايد,2013,60000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,5400  كيلو,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جنطات مغنيسيوم,وسادة حماية هوائية"
دراجة نارية Sym,2015,38000,أسود ميتالك,بنزين,تدريب سياقة,فلسطينية,عادي,يدوي,250,18كم,1+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"جنطات مغنيسيوم,فرش جلد"
بيجو 206,2007,29000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,85000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
هونداي اتوس,2000,24000,أحمر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1000,000000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
بي ام دبليو BMW 428i,2015,239000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,61000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي اكسنت,2013,64000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,79000,,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي H100,1997,27000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,000000000,8+1,نقدا فقط,للبيع فقط,4,"جهاز إنذار,مسجل,فرش جلد"
فولكسفاجن جولف,2003,51000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,١٦٠٠٠٠,١+٤,نقدا فقط,للبيع فقط,للبيع,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
رينو R9,1984,3000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,,نقدا فقط,للبيع فقط,,"إغلاق مركزي,جهاز إنذار,مسجل"
مرسيدس 200,2006,110000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150 الف,,نقدا فقط,للبيع فقط,اولى,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل كورسا,2015,69000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,43000,4+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فورد ترانزيت,2005,67000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
ايسوزو تروبر,2001,10500,رصاصي,ديزل,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,3000,1234567,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا برايد,2007,41500,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150000,4+1,نقدا فقط,للبيع أو التبديل,6,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس 200,1993,47000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع أو التبديل,8,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
دراجة نارية SYM,2016,16500,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,200,3211230,1+1,نقدا فقط,للبيع فقط,اولى,مسجل
هونداي اكسنت,2009,44000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٤٢,٤+١,نقدا فقط,للبيع أو التبديل,٤,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
